kanban_id,work_order_id,sales_order_id,part_no,work_center_id,process_id,process_seq,expected_start_time,actual_start_time,produce_status,planned_today_flag,started_today_flag,overdue_not_started_so_far_flag,overdue_4h_not_started_flag,started_on_time_today_flag,started_late_today_flag
S-W-20250930204800200-0027,T20-000966660,S11-250800026^7,30303310,B50063,S1,10,2025-10-28 09:24:55,,0,1,0,1,1,0,0
S-W-20250930204802631-0074,T20-000966095,S11-250900020^1,31103191,B50063,S1,10,2025-10-28 10:08:16,,2,1,0,1,1,0,0
S-W-20250930204802631-0082,T20-000966094,S11-250900020^1,31103190,B50063,S1,10,2025-10-28 10:08:16,,2,1,0,1,1,0,0
S-W-20250930204846710-0002,T20-000965063,S13-250900020^8,41100064,B50063,S1,10,2025-10-28 11:08:56,,0,1,0,1,1,0,0
S-W-20250925110502382-0020,T20-000964114,S1A-241200023^1,30403069,B50063,S1,10,2025-10-28 13:40:00,,0,1,0,1,1,0,0
S-W-20250930204710008-0043,T20-000965447,S11-250800033^6,34103177,B50063,S1,10,2025-10-28 13:42:45,,2,1,0,1,1,0,0
S-W-20250925110511030-0008,T20-000964309,S1A-250900012^1,34000055,B50063,S1,10,2025-10-28 13:59:12,,0,1,0,1,1,0,0
S-W-20250925110512566-0002,T20-000964322,S1A-250900012^2,34003038,B50063,S1,10,2025-10-28 14:04:32,,0,1,0,1,1,0,0
S-W-20250925110513126-0003,T20-000964557,S11-250900027^1,34203109,B50063,S1,10,2025-10-28 14:10:21,,0,1,0,1,1,0,0
S-W-20250925110516351-0003,T20-000964855,S11-250900027^6,34200221,B50063,S1,10,2025-10-28 14:22:14,,0,1,0,1,1,0,0
S-W-20250925110516351-0033,T20-000964825,S11-250900027^6,30303224,B50063,S1,10,2025-10-28 14:22:14,,0,1,0,1,1,0,0
S-W-20250925110516351-0035,T20-000964824,S11-250900027^6,30303223,B50063,S1,10,2025-10-28 14:22:14,,0,1,0,1,1,0,0
S-W-20250916195707062-0007,T20-000964252,S11-250900021^2,30603095,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250923163559370-0002,T20-000965021,S11-250900022^2,34103217,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250923163559370-0037,T20-000965007,S11-250900022^2,32103201,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250923163559370-0040,T20-000965005,S11-250900022^2,32103146,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250923163559370-0042,T20-000965004,S11-250900022^2,32103143,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250923163559370-0044,T20-000965003,S11-250900022^2,32103140,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250923163559370-0046,T20-000964997,S11-250900022^2,30603087,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250923163559370-0048,T20-000964996,S11-250900022^2,30603086,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250923163611689-0093,T20-000965261,S11-250800033^3,30403121,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250923163611689-0095,T20-000965260,S11-250800033^3,30403120,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250923163611689-0097,T20-000965259,S11-250800033^3,30403039,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250923163611689-0099,T20-000965257,S11-250800033^3,30303341,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250923163613489-0007,T20-000965332,S11-250800033^4,34103087,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250923163613489-0013,T20-000965333,S11-250800033^4,34103169,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250925110523749-0032,T20-000965009,S11-250900022^1,32103231,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250925110523749-0034,T20-000965008,S11-250900022^1,32103230,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250925110545258-0038,T20-000965592,S11-250800036^1,33503007,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250925110545258-0040,T20-000965593,S11-250800036^1,33503021,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250925110545258-0043,T20-000965595,S11-250800036^1,33903008,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250925110545258-0048,T20-000965594,S11-250800036^1,33503171,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250925110545258-0060,T20-000965577,S11-250800036^1,30403064,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250925110545258-0061,T20-000965573,S11-250800036^1,30303338,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250925110545258-0064,T20-000965571,S11-250800036^1,30303321,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250930204656841-0003,T20-000965644,S11-250800036^2,30303240,B50063,S1,10,2025-10-28 14:30:00,,2,1,0,1,1,0,0
S-W-20250930204656841-0006,T20-000965645,S11-250800036^2,30303241,B50063,S1,10,2025-10-28 14:30:00,,2,1,0,1,1,0,0
S-W-20250930204656841-0010,T20-000965647,S11-250800036^2,30303244,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250930204656841-0013,T20-000965648,S11-250800036^2,30303245,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250930204656841-0016,T20-000965649,S11-250800036^2,30303258,B50063,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
