kanban_id,work_order_id,sales_order_id,part_no,work_center_id,process_id,process_seq,expected_start_time,actual_start_time,produce_status,planned_today_flag,started_today_flag,overdue_not_started_so_far_flag,started_on_time_today_flag,started_late_today_flag
S-W-20250909182454934-0102,T10-000631993,S11-250800032^12,S840FBSPSW01,A005,A005,50,2025-10-21 10:14:45.800,,0,1,0,1,0,0
S-W-20250923163524182-0015,T10-000632369,S11-250800038^2,30400400,A006,A003,10,2025-10-20 23:50:00.000,,0,1,0,1,0,0
S-W-20250923163534224-0057,T10-000631889,S11-250800032^3,30400415,A006,A003,10,2025-10-21 00:25:40.200,,0,1,0,1,0,0
S-W-20250923163730218-0029,T10-000633538,S1A-250900015^1,30300478,A006,A003,10,2025-10-21 00:45:25.200,,0,1,0,1,0,0
S-W-20250916195551786-0002,T10-000631448,S11-250800006^1,33700657,A007,A003,10,2025-10-20 23:50:00.000,,0,1,0,1,0,0
S-W-20250923163443333-0044,T10-000631448,S11-250800006^1,33700657,A007,A003,10,2025-10-20 23:50:00.000,,0,1,0,1,0,0
S-W-20250925110439015-0021,T10-000631448,S11-250800006^1,33700657,A007,A003,10,2025-10-20 23:50:00.000,,0,1,0,1,0,0
S-W-20250930204634733-0018,T10-000631440,S11-250800006^1,30500710,A007,A003,10,2025-10-20 23:50:00.000,,0,1,0,1,0,0
S-W-20250930204634733-0021,T10-000631433,S11-250800006^1,30200533,A007,A003,10,2025-10-21 00:18:10.800,,0,1,0,1,0,0
S-W-20250916195551786-0007,T10-000631441,S11-250800006^1,30500749,A007,A003,10,2025-10-21 02:00:00.000,,0,1,0,1,0,0
S-W-20250923163519582-0079,T10-000631689,S11-250800041^12,30529130,A007,A003,10,2025-10-21 02:00:00.000,,0,1,0,1,0,0
S-W-20250925110455499-0012,T10-000631890,S11-250800032^3,30554033,A007,A003,10,2025-10-21 02:00:00.000,,0,1,0,1,0,0
S-W-20250925110458899-0024,T10-000632529,S11-250900017^1,30500561,A007,A003,10,2025-10-21 02:17:42.000,,0,1,0,1,0,0
S-W-20250923163522372-0003,T10-000631725,S11-250800041^15,30550259,A007,A003,10,2025-10-21 02:24:48.000,,0,1,0,1,0,0
S-W-20250923163522372-0005,T10-000631726,S11-250800041^15,30550260,A007,A003,10,2025-10-21 02:39:48.000,,0,1,0,1,0,0
S-W-20250916195551786-0008,T10-000631439,S11-250800006^1,30500584,A007,A003,10,2025-10-21 02:52:18.000,,0,1,0,1,0,0
S-W-20250923163524182-0024,T10-000632370,S11-250800038^2,30500408,A007,A003,10,2025-10-21 03:02:06.000,,0,1,0,1,0,0
S-W-20250923163524182-0025,T10-000632371,S11-250800038^2,30541097,A007,A003,10,2025-10-21 03:12:06.000,,0,1,0,1,0,0
S-W-20250916195552866-0059,T10-000631437,S11-250800006^2,30500561,A007,A003,10,2025-10-21 03:13:45.600,,0,1,0,1,0,0
